,,,,,482,120,,1009,51,7
13,Construção de casas de garrafa PET,Cidade do cabo,3,720,8,2,O mar receberá menos plásticos e a comunidade receberá mais casas por causa de seu projeto! Parabéns pela iniciativa.,15,1,
14,Projeto de conscientização ambiental por meio da arte,Cidade do México,2,480,6,2,Parabéns! Muitas pessoas foram sensibilizadas sobre a urgência de se agir nas questões ambientais!,12,2,
15,Projeto para o desenvolvimento de couro feito a base de cactos,Cidade do México,2,480,8,2,"As vendas estão um sucesso! A produção de couro de animais pode ser muito cruel. Graças a sua invenção, muitas vidas foram salvas! ",28,1,
16,Pesquisa de processo mais barato produção de petróleo,Dubai,3,720,20,3,"A diminuição dos custos foi bem lucrativa, entretanto, o aumento do consumo de combustíveis fósseis fez a temperatura global aumentar.",60,,0.75
17,Construção de ônibus e trens movidos a energia elétrica renovável,Helsinque,3,720,6,2,"Parabéns, realizou um projeto muito importante!",12,1,
18,Construção de usinas geotérmicas,Jacarta,3,720,10,3,A Indonésia é o país com o maior número de vulcões em atividade do mundo (129!). Usá-los para obter energia limpa foi muito bom!!,30,1,
19,Criação de máquina de aceleração de compostagem,Jerusalém,2,480,10,2,"Parabéns, realizou um projeto muito importante!",15,1,
20,Projeto para reflorestamento por inundações repentinas,Jerusalém,3,720,12,2,Parabéns! Você conseguiu reflorestar uma área muito grande com esta técnica!,25,2,
21,Programa de apoio de mulheres que empreenderem com projetos sustentáveis,Lagos,1,240,5,2,"Parabéns, realizou um projeto muito importante!",15,1,
22,Projeto para criação de uma cidade sustentável em área desértica,Lima,5,1200,15,3,"Parabéns, realizou um projeto muito importante!",35,1,
23,Leilão de obras de arte e peças históricas e doaçao de parte dos lucros para ONGs ambientais,Londres,2,480,6,3,Era greenwashing! As peças históricas na verdade foram roubadas de vários povos que protegem os biomas e deixam a floresta em pé.,10,,0.5
24,Produção de carros elétricos em todo EUA,Los Angeles,5,1200,20,3,"Você fez muito dinheiro! Mas as 3 principais fontes de energia local são petróleo, gás e carvão.  De nada adiantaram os carros elétricos.",55,,0.75
25,Desenvolvimento de uma plataforma de educação acessível sobre sustentabilidade,Luanda,3,720,7,3,Parabéns! O conhecimento sobre sustentabilidade alcançará ainda mais pessoas!,8,2,
26,Mostra de mais de 100 filmes sobre meio ambiente,Luanda,1,240,5,2,"Parabéns, realizou um projeto muito importante!",7,1,
27,Criação de selo rígido de sustentabilidade,Madri,3,720,10,2,"Parabéns, realizou um projeto muito importante! Com este selo, fica bem mais difícil para empresas que fazem greenwashing o adquirirem e, portanto, serem reconhecidas por sua sustentabilidade.",18,1,
28,"Projeto de proteção, apoio e formação de pesquisadoras e empreendedoras indígenas",Manaus,3,720,10,2,"Parabéns, realizou um projeto muito importante!",20,3,
29,Produção de um sistema para monitoramento da floresta amazônica.,Manaus,3,720,7,2,Parabéns! Você realizou uma pesquisa muito importante! Isso está ajudando a diminuir o desmatamento.,12,2,
30,"Produção de ferro, cobre e ouro para equippamentos eletrônicos",Manaus,2,480,10,3,As atividades de mineração causaram danos terríveis ao ambiente e à população da amazônia.,20,,0.75
31,Produção de transporte público elétrico,Manila,3,720,8,3,"Parabéns, realizou um projeto muito importante!",25,1,
32,Produção de embalagens biodegradáveis para empresas,Moscou,2,480,6,2,"Embalagens biodegradáveis não são a solução para o problema do descarte global, mas são muito melhores que as outras alternativas só de plásticos!",11,1,
33,Pesquisa sobre ações empresariais sustentáveis mais efetivas,Mumbai,3,720,10,2,Parabéns! Sua pesquisa deu um norte para as empresas e agora elas sabem o que podem fazer para agir a favor do meio ambiente!,28,2,
34,Produção de canudos de bambu,Mumbai,2,480,4,2,Uhul! Menos plástico! Mais tartarugas salvas!,9,1,
35,Construção de uma rede grande de transporte público eficiente e sustentável,Nairobi,4,960,12,3,"Parabéns, realizou um projeto muito importante!",20,1,
36,Produção de cromo,Nova Delhi,3,720,16,2,A mineração contaminou a população local. Você deverá pagar para as pessoas que foram contaminadas. ,20,,0.75
37,Programa para a compra de antigos aparelhos eletrônicos e reciclagem de lixo eletrônico,Nova York,2,480,8,2,"Parabéns, realizou um programa muito importante!",10,1,
38,Produçao de tecidos a base de fibra de bambu e livre de químicos nocivos,Nova York,3,720,10,3,"Era greenwashing! Os tecidos nunca foram feitos de bambu, mas sim de rayon, que requer produtos químicos tóxicos e resulta na emissão de poluentes perigosos.  Você tomou uma multa!",15,,0.5
39,Auditoria dos documentos de responsabilidade social de empresas,Paris,2,480,6,3,Você descobriu que muitas das empresas não realizam ações de sustentabilidade eficientes.,11,1,
40,Produção de baterias para carros elétricos,Pequim,2,480,12,3,"Era greenwashing! O processo de produção da bateria exige a mineração de muitos metais e isso gasta muita energia, água e ainda polui os arredores, intoxicado todo um ecossistema. ",25,,0.5
41,Desenvolvimento  de cidades-esponjas para conter enchentes,Pequim,4,960,20,3,"Essa forma de escoamento de água permite a criação de áreas verdes nas cidades, além de ser um bom início para a adaptação de mudanças climáticas.",32,2,
42,"Desenvolvimento de Diesel limpo, com melhor eficiência e amigo do ambiente",Roma,2,480,8,2,Era greenwashing! A empresa manipulou os softwares dos veículos para passar nos testes porque o diesel verde era tudo mentira! Você ganhou dinheiro mas tomou uma enorme multa.,32,,0.75
43,Projeto de tratamento da poluição das águas,São Paulo,3,720,12,2,O tratamento da qualidade da água melhorou a qualidade de vida e saúde da população.,20,1,
44,Plantação sob placas fotovoltaicas,Seul,3,720,15,2,"A plantação aproveita a sombra parcial das placas, assim utiliza menos água e espaço. Sua pesquisa foi um sucesso!",30,1,
45,Implementação de redes inteligentes de distribuição de energia,Singapura,3,720,9,2,"Parabéns, realizou um programa muito importante!",20,1,
46,Criação de berçários de Corais e regeneração dos corais existentes,Sydney,3,720,7,3,Parabéns! Sua ação foi efetiva e protegeu a barreira de corais! Você ganhou dinheiro por causa do turismo ecológico também!,15,2,
47,Pesca Sustentável em águas Estrangeiras,Tóquio,2,480,7,2,Era greenwashing! A empresa está usando métodos de pesca predatória que prejudicam gravemente os ecossistemas marinhos e as populações de peixes locais.,12,,0.5
48,Workshop de compartilhamento de conhecimentos indígenas com a comunidade e empresas de energia,Toronto,1,240,5,2,"Parabéns, realizou um projeto muito importante! O conhecimento indígena foi compartilhado!",11,1,
49,Plantio por jatos de água em área desertificada,Xangai,2,480,8,2,"Parabéns, realizou um projeto muito importante! Você conseguiu reflorestar uma área muito grande com esta técnica!",20,2,
50,Implantação de Frota de Ônibus de Hidrogênio Verde,Xangai,3,720,10,2,"Parabéns, isso reduziu significativamente as emissões de poluentes locais e contribuiu para a melhoria da qualidade do ar na cidade!",15,1,
